"pNo","condition","congruency","wordShown","correctResp","trialnum","resp","acc","rt","include","mentaldemand","effort","frustration","bored","fatigue","acs","implicitWillpower","bigFiveCon","bsc","srsq"
5,"control","incongruent","red","blue",131,"blue",1,1164,1,3.4,2.9,1.9,2.6,3.1,0,2.16666666666667,2.77777777777778,2.23076923076923,2.9
5,"control","congruent","yellow","yellow",132,"red",0,845,1,3.4,2.9,1.9,2.6,3.1,0,2.16666666666667,2.77777777777778,2.23076923076923,2.9
5,"control","congruent","red","red",133,"red",1,1097,1,3.4,2.9,1.9,2.6,3.1,0,2.16666666666667,2.77777777777778,2.23076923076923,2.9
5,"control","incongruent","red","yellow",134,"yellow",1,1615,1,3.4,2.9,1.9,2.6,3.1,0,2.16666666666667,2.77777777777778,2.23076923076923,2.9
5,"control","congruent","blue","blue",135,"blue",1,769,1,3.4,2.9,1.9,2.6,3.1,0,2.16666666666667,2.77777777777778,2.23076923076923,2.9
5,"control","incongruent","blue","red",136,"red",1,755,1,3.4,2.9,1.9,2.6,3.1,0,2.16666666666667,2.77777777777778,2.23076923076923,2.9
5,"control","congruent","yellow","yellow",137,"yellow",1,515,1,3.4,2.9,1.9,2.6,3.1,0,2.16666666666667,2.77777777777778,2.23076923076923,2.9
5,"control","incongruent","yellow","blue",138,"blue",1,700,1,3.4,2.9,1.9,2.6,3.1,0,2.16666666666667,2.77777777777778,2.23076923076923,2.9
5,"control","congruent","red","red",139,"red",1,668,1,3.4,2.9,1.9,2.6,3.1,0,2.16666666666667,2.77777777777778,2.23076923076923,2.9
5,"control","incongruent","blue","yellow",140,"yellow",1,2085,1,3.4,2.9,1.9,2.6,3.1,0,2.16666666666667,2.77777777777778,2.23076923076923,2.9
5,"control","congruent","blue","blue",141,"blue",1,947,1,3.4,2.9,1.9,2.6,3.1,0,2.16666666666667,2.77777777777778,2.23076923076923,2.9
5,"control","congruent","yellow","yellow",142,"yellow",1,889,1,3.4,2.9,1.9,2.6,3.1,0,2.16666666666667,2.77777777777778,2.23076923076923,2.9
5,"control","congruent","blue","blue",143,"blue",1,1243,1,3.4,2.9,1.9,2.6,3.1,0,2.16666666666667,2.77777777777778,2.23076923076923,2.9
5,"control","congruent","red","red",144,"red",1,773,1,3.4,2.9,1.9,2.6,3.1,0,2.16666666666667,2.77777777777778,2.23076923076923,2.9
5,"control","congruent","yellow","yellow",145,"yellow",1,1095,1,3.4,2.9,1.9,2.6,3.1,0,2.16666666666667,2.77777777777778,2.23076923076923,2.9
5,"control","congruent","yellow","yellow",146,"yellow",1,602,1,3.4,2.9,1.9,2.6,3.1,0,2.16666666666667,2.77777777777778,2.23076923076923,2.9
5,"control","incongruent","yellow","red",147,"red",1,1013,1,3.4,2.9,1.9,2.6,3.1,0,2.16666666666667,2.77777777777778,2.23076923076923,2.9
